pitcher,name,starts,bf,k_per_pa,proj_mean_k,p_ge_4,p_ge_5,p_ge_6,p_ge_7,p_ge_8,p_ge_9,fair_4plus,fair_5plus,fair_6plus,fair_7plus,fair_8plus,fair_9plus
680736,"Wrobleski, Justin",29,22,0.2066,4.54,0.695,0.4882,0.2943,0.1513,0.0662,0.0246,1.44,2.05,3.4,6.61,15.11,40.61
681347,"Burrows, Mike",35,21,0.2157,4.53,0.694,0.4858,0.291,0.1481,0.0639,0.0233,1.44,2.06,3.44,6.75,15.66,42.91
650644,"Civale, Aaron",60,22,0.2051,4.51,0.6889,0.4811,0.2881,0.147,0.0638,0.0235,1.45,2.08,3.47,6.8,15.68,42.49
453286,"Scherzer, Max",29,21,0.2147,4.51,0.6899,0.481,0.2868,0.1452,0.0623,0.0226,1.45,2.08,3.49,6.89,16.06,44.24
542881,"Anderson, Tyler",57,24,0.188,4.51,0.6864,0.4803,0.2894,0.1494,0.0661,0.025,1.46,2.08,3.46,6.69,15.14,39.95
571760,"Heaney, Andrew",54,22,0.2046,4.5,0.6869,0.4787,0.286,0.1455,0.063,0.0232,1.46,2.09,3.5,6.87,15.88,43.15
686701,"Bergert, Ryan",15,20,0.224,4.48,0.6865,0.4756,0.2808,0.1402,0.059,0.0209,1.46,2.1,3.56,7.13,16.96,47.93
663687,"Harris, Hogan",15,20,0.2234,4.47,0.6841,0.4728,0.2784,0.1385,0.0581,0.0205,1.46,2.11,3.59,7.22,17.21,48.8
663623,"Irvin, Jake",77,23,0.1941,4.46,0.6786,0.4703,0.2797,0.142,0.0615,0.0227,1.47,2.13,3.58,7.04,16.25,43.96
678022,"Perkins, Jack",9,19,0.2349,4.46,0.685,0.4723,0.2764,0.1362,0.0562,0.0194,1.46,2.12,3.62,7.34,17.79,51.6
669461,"Liberatore, Matthew",50,22,0.2027,4.46,0.679,0.4697,0.2781,0.1402,0.0601,0.0219,1.47,2.13,3.6,7.13,16.65,45.73
681517,"Leahy, Kyle",15,22,0.2022,4.45,0.677,0.4674,0.2762,0.1389,0.0593,0.0215,1.48,2.14,3.62,7.2,16.85,46.41
676664,"Sears, JP",59,23,0.1932,4.44,0.6749,0.4661,0.276,0.1395,0.0602,0.0221,1.48,2.15,3.62,7.17,16.62,45.19
663568,"Kolek, Stephen",27,24,0.1851,4.44,0.6736,0.4656,0.2766,0.1406,0.0611,0.0228,1.48,2.15,3.62,7.11,16.35,43.9
684320,"Rodríguez, Yariel",18,20,0.2221,4.44,0.6792,0.4672,0.2735,0.1353,0.0564,0.0197,1.47,2.14,3.66,7.39,17.74,50.63
806960,"Morales, Luis",12,21,0.2105,4.42,0.6732,0.4618,0.2702,0.134,0.0562,0.02,1.49,2.17,3.7,7.46,17.78,50.11
696136,"Wicks, Jordan",14,21,0.2104,4.42,0.6731,0.4617,0.2701,0.134,0.0562,0.0199,1.49,2.17,3.7,7.46,17.79,50.14
